2026-07-15 20:45:39 | AUTH_SUCCESS | user=sara | ip=10.0.0.2 | detail=Login successful
2026-07-15 20:45:39 | SESSION_START | user=sara | ip=10.0.0.2 | detail=Session opened
2026-07-15 20:46:27 | AUTH_FAIL | user=bob | ip=10.0.0.3 | detail=Incorrect password
2026-07-15 20:47:39 | AUTH_SUCCESS | user=bob | ip=10.0.0.3 | detail=Login successful
2026-07-15 20:47:39 | SESSION_START | user=bob | ip=10.0.0.3 | detail=Session opened
2026-07-15 20:47:59 | AUTH_SUCCESS | user=alice | ip=10.0.0.4 | detail=Login successful
2026-07-15 20:47:59 | SESSION_START | user=alice | ip=10.0.0.4 | detail=Session opened
2026-07-15 20:48:39 | SESSION_TIMEOUT | user=sara | ip=10.0.0.2 | detail=Inactivity timeout
2026-07-15 20:51:11 | SESSION_TIMEOUT | user=alice | ip=10.0.0.4 | detail=Inactivity timeout
2026-07-15 20:51:31 | SESSION_TIMEOUT | user=bob | ip=10.0.0.3 | detail=Inactivity timeout
